Admin1,Facility name,Facility type,Lat,Long
Addis Ababa,Addis Ketema Clinic 1,Clinic,9.0297,38.7186
Addis Ababa,Addis Ketema Clinic 10,Clinic,9.0292,38.7386
Addis Ababa,Addis Ketema Clinic 11,Clinic,9.0287,38.7362
Addis Ababa,Addis Ketema Clinic 12,Clinic,9.0282,38.7347
Addis Ababa,Addis Ketema Clinic 13,Clinic,9.0294,38.734
Addis Ababa,Addis Ketema Clinic 14,Clinic,9.0255,38.7264
Addis Ababa,Addis Ketema Clinic 15,Clinic,9.023,38.7351
Addis Ababa,Addis Ketema Clinic 16,Clinic,9.0234,38.7351
Addis Ababa,Addis Ketema Clinic 17,Clinic,9.0236,38.7366
Addis Ababa,Addis Ketema Clinic 18,Clinic,9.0234,38.7383
Addis Ababa,Addis Ketema Clinic 19,Clinic,9.026,38.7368
Addis Ababa,Addis Ketema Clinic 2,Clinic,9.0392,38.7328
Addis Ababa,Addis Ketema Clinic 20,Clinic,9.0265,38.7353
Addis Ababa,Addis Ketema Clinic 21,Clinic,9.0186,38.7291
Addis Ababa,Addis Ketema Clinic 22,Clinic,9.0193,38.7368
Addis Ababa,Addis Ketema Clinic 23,Clinic,9.0303,38.743
Addis Ababa,Addis Ketema Clinic 24,Clinic,9.0316,38.7423
Addis Ababa,Addis Ketema Clinic 25,Clinic,9.0324,38.7408
Addis Ababa,Addis Ketema Clinic 26,Clinic,9.0354,38.74
Addis Ababa,Addis Ketema Clinic 27,Clinic,9.0431,38.7366
Addis Ababa,Addis Ketema Clinic 3,Clinic,9.0383,38.7358
Addis Ababa,Addis Ketema Clinic 4,Clinic,9.0317,38.7262
Addis Ababa,Addis Ketema Clinic 5,Clinic,9.0317,38.7292
Addis Ababa,Addis Ketema Clinic 6,Clinic,9.0289,38.7286
Addis Ababa,Addis Ketema Clinic 7,Clinic,9.0293,38.7305
Addis Ababa,Addis Ketema Clinic 8,Clinic,9.0353,38.731
Addis Ababa,Addis Ketema Clinic 9,Clinic,9.0323,38.7351
Addis Ababa,Addis Ketema Health Centre 1,Health Centre,9.0323,38.7258
Addis Ababa,Addis Ketema Health Centre 2,Health Centre,9.0297,38.7267
Addis Ababa,Addis Ketema Health Centre 3,Health Centre,9.0236,38.7404
Addis Ababa,Addis Ketema Health Post 1,Health Post,9.0325,38.7397
Addis Ababa,Addis Ketema Health Post 2,Health Post,9.028,38.7334
Addis Ababa,Addis Ketema Hospital 1,Hospital,9.0256,38.7258
Addis Ababa,Addis Ketema Hospital 2,Hospital,9.0328,38.7228
Addis Ababa,Addis Ketema Hospital 3,Hospital,9.0358,38.7257
Addis Ababa,Addis Ketema Hospital 4,Hospital,9.0295,38.7355
Addis Ababa,Akaki Kaliti Clinic 1,Clinic,8.9503,38.768
Addis Ababa,Akaki Kaliti Clinic 10,Clinic,8.9074,38.7747
Addis Ababa,Akaki Kaliti Clinic 11,Clinic,8.8794,38.762
Addis Ababa,Akaki Kaliti Clinic 12,Clinic,8.8826,38.7858
Addis Ababa,Akaki Kaliti Clinic 13,Clinic,8.8724,38.777
Addis Ababa,Akaki Kaliti Clinic 14,Clinic,8.8728,38.7809
Addis Ababa,Akaki Kaliti Clinic 15,Clinic,8.8656,38.7836
Addis Ababa,Akaki Kaliti Clinic 16,Clinic,8.8708,38.7904
Addis Ababa,Akaki Kaliti Clinic 17,Clinic,8.8676,38.7912
Addis Ababa,Akaki Kaliti Clinic 18,Clinic,8.8636,38.7879
Addis Ababa,Akaki Kaliti Clinic 19,Clinic,8.8631,38.789
Addis Ababa,Akaki Kaliti Clinic 2,Clinic,8.953,38.767
Addis Ababa,Akaki Kaliti Clinic 20,Clinic,8.8611,38.7934
Addis Ababa,Akaki Kaliti Clinic 21,Clinic,8.8619,38.7923
Addis Ababa,Akaki Kaliti Clinic 22,Clinic,8.8593,38.8035
Addis Ababa,Akaki Kaliti Clinic 23,Clinic,8.8958,38.8095
Addis Ababa,Akaki Kaliti Clinic 3,Clinic,8.9483,38.7717
Addis Ababa,Akaki Kaliti Clinic 4,Clinic,8.9441,38.7724
Addis Ababa,Akaki Kaliti Clinic 5,Clinic,8.931,38.7767
Addis Ababa,Akaki Kaliti Clinic 6,Clinic,8.8932,38.7528
Addis Ababa,Akaki Kaliti Clinic 7,Clinic,8.9035,38.7691
Addis Ababa,Akaki Kaliti Clinic 8,Clinic,8.9025,38.768
Addis Ababa,Akaki Kaliti Clinic 9,Clinic,8.9039,38.7737
Addis Ababa,Akaki Kaliti Health Centre 1,Health Centre,8.8972,38.7703
Addis Ababa,Akaki Kaliti Health Centre 2,Health Centre,8.8738,38.7923
Addis Ababa,Akaki Kaliti Health Post 1,Health Post,8.879,38.7629
Addis Ababa,Akaki Kaliti Health Post 2,Health Post,8.8651,38.7839
Addis Ababa,Akaki Kaliti Hospital,Hospital,8.9512,38.7676
Addis Ababa,Arada Clinic 1,Clinic,9.0335,38.7426
Addis Ababa,Arada Clinic 10,Clinic,9.0337,38.7584
Addis Ababa,Arada Clinic 11,Clinic,9.034,38.7583
Addis Ababa,Arada Clinic 12,Clinic,9.0348,38.7578
Addis Ababa,Arada Clinic 13,Clinic,9.03,38.7503
Addis Ababa,Arada Clinic 14,Clinic,9.0312,38.7505
Addis Ababa,Arada Clinic 15,Clinic,9.0303,38.7514
Addis Ababa,Arada Clinic 16,Clinic,9.0298,38.7529
Addis Ababa,Arada Clinic 17,Clinic,9.0287,38.7518
Addis Ababa,Arada Clinic 18,Clinic,9.0288,38.7531
Addis Ababa,Arada Clinic 19,Clinic,9.0267,38.7527
Addis Ababa,Arada Clinic 2,Clinic,9.033,38.7453
Addis Ababa,Arada Clinic 20,Clinic,9.0258,38.7532
Addis Ababa,Arada Clinic 21,Clinic,9.0249,38.7541
Addis Ababa,Arada Clinic 22,Clinic,9.027,38.7537
Addis Ababa,Arada Clinic 23,Clinic,9.0262,38.7548
Addis Ababa,Arada Clinic 24,Clinic,9.0268,38.7541
Addis Ababa,Arada Clinic 25,Clinic,9.0276,38.7554
Addis Ababa,Arada Clinic 26,Clinic,9.0281,38.7555
Addis Ababa,Arada Clinic 27,Clinic,9.0265,38.7563
Addis Ababa,Arada Clinic 28,Clinic,9.0282,38.7563
Addis Ababa,Arada Clinic 29,Clinic,9.0302,38.7566
Addis Ababa,Arada Clinic 3,Clinic,9.0436,38.7453
Addis Ababa,Arada Clinic 30,Clinic,9.0306,38.7579
Addis Ababa,Arada Clinic 31,Clinic,9.0287,38.7581
Addis Ababa,Arada Clinic 32,Clinic,9.0291,38.7588
Addis Ababa,Arada Clinic 33,Clinic,9.0273,38.7582
Addis Ababa,Arada Clinic 34,Clinic,9.0255,38.7595
Addis Ababa,Arada Clinic 35,Clinic,9.0246,38.7608
Addis Ababa,Arada Clinic 36,Clinic,9.0248,38.763
Addis Ababa,Arada Clinic 37,Clinic,9.0243,38.7641
Addis Ababa,Arada Clinic 38,Clinic,9.0207,38.7601
Addis Ababa,Arada Clinic 39,Clinic,9.0386,38.7677
Addis Ababa,Arada Clinic 4,Clinic,9.0383,38.7476
Addis Ababa,Arada Clinic 40,Clinic,9.0394,38.7663
Addis Ababa,Arada Clinic 41,Clinic,9.0369,38.771
Addis Ababa,Arada Clinic 42,Clinic,9.0334,38.7774
Addis Ababa,Arada Clinic 43,Clinic,9.0315,38.7777
Addis Ababa,Arada Clinic 44,Clinic,9.0307,38.7704
Addis Ababa,Arada Clinic 45,Clinic,9.0274,38.7693
Addis Ababa,Arada Clinic 46,Clinic,9.0231,38.77
Addis Ababa,Arada Clinic 47,Clinic,9.0477,38.751
Addis Ababa,Arada Clinic 48,Clinic,9.0452,38.7431
Addis Ababa,Arada Clinic 49,Clinic,9.0398,38.7665
Addis Ababa,Arada Clinic 5,Clinic,9.0383,38.7506
Addis Ababa,Arada Clinic 6,Clinic,9.0383,38.7547
Addis Ababa,Arada Clinic 7,Clinic,9.0352,38.7508
Addis Ababa,Arada Clinic 8,Clinic,9.0338,38.7506
Addis Ababa,Arada Clinic 9,Clinic,9.0327,38.7589
Addis Ababa,Arada Health Centre 1,Health Centre,9.038,38.7422
Addis Ababa,Arada Health Centre 2,Health Centre,9.0324,38.7558
Addis Ababa,Arada Health Centre 3,Health Centre,9.0277,38.779
Addis Ababa,Arada Health Centre 4,Health Centre,9.0485,38.7444
Addis Ababa,Arada Health Post,Health Post,9.0325,38.7469
Addis Ababa,Arada Hospital 1,Hospital,9.0409,38.747
Addis Ababa,Arada Hospital 2,Hospital,9.0371,38.7466
Addis Ababa,Arada Hospital 3,Hospital,9.0392,38.7622
Addis Ababa,Arada Hospital 4,Hospital,9.0346,38.7632
Addis Ababa,Arada Hospital 5,Hospital,9.033,38.7698
Addis Ababa,Bole Clinic 1,Clinic,8.9964,38.7838
Addis Ababa,Bole Clinic 10,Clinic,8.9788,38.7779
Addis Ababa,Bole Clinic 11,Clinic,8.9805,38.7776
Addis Ababa,Bole Clinic 12,Clinic,8.9787,38.7762
Addis Ababa,Bole Clinic 13,Clinic,8.9856,38.7851
Addis Ababa,Bole Clinic 14,Clinic,8.9479,38.7837
Addis Ababa,Bole Clinic 15,Clinic,9.0105,38.7894
Addis Ababa,Bole Clinic 16,Clinic,9.0082,38.7898
Addis Ababa,Bole Clinic 17,Clinic,9.0134,38.8007
Addis Ababa,Bole Clinic 18,Clinic,9.0108,38.7962
Addis Ababa,Bole Clinic 19,Clinic,9.0086,38.8002
Addis Ababa,Bole Clinic 2,Clinic,8.9966,38.7826
Addis Ababa,Bole Clinic 20,Clinic,9.0061,38.7989
Addis Ababa,Bole Clinic 21,Clinic,9.0059,38.8041
Addis Ababa,Bole Clinic 22,Clinic,9.0041,38.7908
Addis Ababa,Bole Clinic 23,Clinic,8.9979,38.7906
Addis Ababa,Bole Clinic 24,Clinic,8.9953,38.788
Addis Ababa,Bole Clinic 25,Clinic,8.9851,38.7946
Addis Ababa,Bole Clinic 26,Clinic,8.9878,38.794
Addis Ababa,Bole Clinic 27,Clinic,8.9904,38.7967
Addis Ababa,Bole Clinic 28,Clinic,8.9986,38.8031
Addis Ababa,Bole Clinic 29,Clinic,8.9953,38.8101
Addis Ababa,Bole Clinic 3,Clinic,8.9979,38.7829
Addis Ababa,Bole Clinic 30,Clinic,8.9907,38.8105
Addis Ababa,Bole Clinic 31,Clinic,8.9912,38.8101
Addis Ababa,Bole Clinic 32,Clinic,8.9986,38.8142
Addis Ababa,Bole Clinic 33,Clinic,8.986,38.8339
Addis Ababa,Bole Clinic 34,Clinic,8.9828,38.8373
Addis Ababa,Bole Clinic 35,Clinic,9.0028,38.8118
Addis Ababa,Bole Clinic 36,Clinic,9.0072,38.8266
Addis Ababa,Bole Clinic 37,Clinic,9.0124,38.8236
Addis Ababa,Bole Clinic 38,Clinic,9.0153,38.8231
Addis Ababa,Bole Clinic 39,Clinic,9.0157,38.8221
Addis Ababa,Bole Clinic 4,Clinic,8.9987,38.7828
Addis Ababa,Bole Clinic 40,Clinic,9.0147,38.8359
Addis Ababa,Bole Clinic 41,Clinic,9.0153,38.8437
Addis Ababa,Bole Clinic 42,Clinic,9.0154,38.8613
Addis Ababa,Bole Clinic 43,Clinic,9.0159,38.8619
Addis Ababa,Bole Clinic 44,Clinic,9.0076,38.7782
Addis Ababa,Bole Clinic 5,Clinic,9.0019,38.7845
Addis Ababa,Bole Clinic 6,Clinic,9.001,38.7833
Addis Ababa,Bole Clinic 7,Clinic,9.0049,38.7837
Addis Ababa,Bole Clinic 8,Clinic,9.0067,38.7854
Addis Ababa,Bole Clinic 9,Clinic,8.9775,38.7768
Addis Ababa,Bole Health Centre 1,Health Centre,9.0088,38.8281
Addis Ababa,Bole Health Centre 2,Health Centre,9.0031,38.7972
Addis Ababa,Bole Health Centre 3,Health Centre,9.0007,38.7916
Addis Ababa,Bole Health Centre 4,Health Centre,8.992,38.8114
Addis Ababa,Bole Health Centre 5,Health Centre,8.9878,38.7837
Addis Ababa,Bole Health Centre 6,Health Centre,8.983,38.7833
Addis Ababa,Bole Hospital 1,Hospital,9.0006,38.7799
Addis Ababa,Bole Hospital 2,Hospital,9.0089,38.7858
Addis Ababa,Bole Hospital 3,Hospital,9.0114,38.79
Addis Ababa,Bole Hospital 4,Hospital,9.0059,38.7908
Addis Ababa,Bole Hospital 5,Hospital,9.0154,38.8122
Addis Ababa,Bole Hospital 6,Hospital,8.9857,38.796
Addis Ababa,Bole Hospital 7,Hospital,8.9903,38.7978
Addis Ababa,Bole Hospital 8,Hospital,8.991,38.8162
Addis Ababa,Gulele Clinic 1,Clinic,9.0433,38.7317
Addis Ababa,Gulele Clinic 10,Clinic,9.0498,38.7377
Addis Ababa,Gulele Clinic 11,Clinic,9.0538,38.7393
Addis Ababa,Gulele Clinic 12,Clinic,9.0564,38.7431
Addis Ababa,Gulele Clinic 13,Clinic,9.0595,38.7468
Addis Ababa,Gulele Clinic 14,Clinic,9.0612,38.7511
Addis Ababa,Gulele Clinic 15,Clinic,9.0582,38.7545
Addis Ababa,Gulele Clinic 16,Clinic,9.0587,38.7541
Addis Ababa,Gulele Clinic 17,Clinic,9.0664,38.7626
Addis Ababa,Gulele Clinic 18,Clinic,9.0599,38.7644
Addis Ababa,Gulele Clinic 19,Clinic,9.0566,38.7632
Addis Ababa,Gulele Clinic 2,Clinic,9.0442,38.7637
Addis Ababa,Gulele Clinic 20,Clinic,9.0538,38.7622
Addis Ababa,Gulele Clinic 21,Clinic,9.0462,38.7606
Addis Ababa,Gulele Clinic 22,Clinic,9.0459,38.7648
Addis Ababa,Gulele Clinic 23,Clinic,9.0482,38.7242
Addis Ababa,Gulele Clinic 3,Clinic,9.0632,38.7217
Addis Ababa,Gulele Clinic 4,Clinic,9.0562,38.7219
